"binomial","NoThreat1","NoThreat2","NoThreat3","NoThreat4","NoThreat5","NoThreat6","NoThreat7","NoThreat8","NoThreat9","NoThreat10","NoThreat11","NoThreat12"
"Alauda razae",0,0,0,0,0,0,0,0,0,0,1,0
"Anas wyvilliana",1,1,0,0,1,1,1,0,0,0,1,0
"Ara glaucogularis",0,0,0,0,1,0,1,0,0,0,0,0
"Ardeotis nigriceps",0,1,1,1,1,1,0,0,0,0,0,0
"Aythya innotata",0,1,0,0,1,0,1,0,1,0,1,0
"Charadrius obscurus",1,0,0,0,0,1,0,0,0,0,0,0
"Cyanolimnas cerverai",0,0,0,0,1,0,1,0,0,0,0,0
"Didunculus strigirostris",0,1,0,0,1,0,0,0,0,0,1,0
"Diomedea dabbenena",0,0,0,0,1,0,0,0,0,0,0,0
"Eurostopodus exul",0,0,1,0,1,0,0,0,0,0,0,0
"Gyps bengalensis",0,1,1,1,1,0,1,0,1,0,0,1
"Haliaeetus leucoryphus",1,1,1,0,1,1,1,0,1,0,1,0
"Heteromirafra archeri",0,1,0,0,0,1,1,0,0,0,1,0
"Himantopus novaezelandiae",1,0,0,0,0,1,1,0,0,0,0,0
"Hypotaenidia owstoni",1,1,0,0,0,0,1,0,0,0,1,0
"Hypotaenidia sylvestris",0,0,0,0,1,0,0,0,0,0,1,0
"Leptotila wellsi",1,1,0,0,0,0,1,0,1,0,1,0
"Macrocephalon maleo",1,1,1,1,1,1,1,0,0,0,0,0
"Neophema chrysogaster",1,1,1,0,0,0,1,0,0,0,1,0
"Nestor notabilis",0,1,0,1,1,1,0,0,0,0,1,1
"Oxyura maccoa",0,1,0,0,1,0,0,0,1,0,0,0
"Papasula abbotti",1,0,1,1,1,0,0,0,1,0,1,0
"Pareudiastes silvestris",0,0,0,0,1,0,0,0,0,0,1,0
"Pelecanoides whenuahouensis",0,0,0,0,0,0,0,0,0,0,1,0
"Pezoporus occidentalis",0,1,0,0,0,1,1,0,0,0,1,0
"Phoebastria irrorata",0,0,0,0,1,0,0,0,1,0,1,0
"Podiceps taczanowskii",0,1,0,0,1,0,1,0,1,0,1,0
"Porphyrio hochstetteri",0,0,0,0,1,0,0,0,0,0,1,0
"Pseudobulweria aterrima",0,0,0,0,1,0,0,0,1,0,0,0
"Pterodroma caribbaea",0,0,0,0,1,0,0,0,0,0,1,0
"Pterodroma magentae",0,0,0,0,1,0,0,0,0,0,1,0
"Pterodroma phaeopygia",1,1,0,0,1,0,0,0,0,0,1,0
"Pterodroma sandwichensis",1,1,1,1,1,0,0,0,1,0,1,0
"Puffinus auricularis",0,0,0,0,0,0,0,0,1,1,1,0
"Puffinus bryani",0,0,0,0,0,0,0,0,1,0,0,0
"Puffinus mauretanicus",1,0,0,0,1,1,0,0,1,0,0,0
"Puffinus myrtae",0,1,0,0,1,0,0,0,0,0,0,0
"Puffinus newelli",0,0,1,1,1,0,0,0,1,0,1,0
"Rhynochetos jubatus",0,1,1,0,1,0,1,0,0,0,0,0
"Rollandia microptera",0,0,0,0,1,1,1,0,1,0,0,0
"Rynchops albicollis",0,1,1,0,1,1,1,0,1,0,0,0
"Sterna acuticauda",0,1,1,0,1,1,1,0,0,0,1,0
"Sypheotides indicus",1,1,1,1,1,1,0,0,0,0,1,0
"Thalasseus bernsteini",1,0,0,0,1,1,0,0,1,0,1,0
"Turnix novaecaledoniae",1,1,0,0,1,0,1,0,0,0,0,0
"Zanda baudinii",0,1,1,0,1,0,0,0,0,0,1,0
